age,gender,height,weight,activity,goal,calorie_target
48,female,183.9,93.1,moderate,loss,2087.93
37,female,166.6,67.9,light,gain,2438.38
51,male,169.3,45.9,moderate,maintain,1927.68
67,male,178.1,77.5,light,gain,2412.42
35,male,191.0,93.1,sedentary,gain,2669.84
35,female,176.6,49.9,sedentary,loss,888.51
68,female,157.4,81.1,moderate,maintain,2139.85
53,male,177.3,79.8,moderate,maintain,2797.06
31,female,150.6,61.3,light,loss,1316.18
49,male,182.4,62.4,light,gain,2590.49
31,male,189.0,96.8,sedentary,maintain,2444.75
31,female,162.3,76.2,light,gain,2695.3
44,female,156.7,61.7,active,gain,2553.83
15,female,164.9,65.1,moderate,loss,1625.33
15,female,165.3,54.6,moderate,gain,2479.31
29,male,175.7,71.1,active,gain,3421.27
21,female,163.4,57.9,active,gain,2662.72
45,female,160.6,68.5,sedentary,maintain,1615.77
23,female,170.0,58.3,light,maintain,1704.0
15,female,167.9,74.8,sedentary,loss,1350.37
66,male,166.2,55.8,light,gain,2312.53
35,male,165.9,62.8,moderate,maintain,2338.74
41,female,160.0,68.5,sedentary,maintain,1501.18
15,female,167.9,58.7,active,loss,2014.61
30,male,176.3,83.7,light,maintain,2512.55
41,male,169.2,75.8,moderate,loss,1711.65
19,female,164.1,61.3,sedentary,gain,2228.4
46,male,172.0,86.5,sedentary,gain,2482.46
29,male,182.9,81.5,moderate,loss,2232.81
34,male,178.0,91.8,moderate,maintain,2722.86
29,male,172.2,95.1,active,maintain,3025.87
73,female,163.9,61.5,moderate,gain,2257.74
39,male,186.8,93.9,sedentary,gain,2907.2
20,male,169.9,61.0,sedentary,gain,2417.42
54,female,165.2,52.8,active,maintain,2078.64
18,female,161.4,60.3,sedentary,loss,1178.74
43,female,165.4,48.9,moderate,maintain,1527.78
15,male,169.1,56.6,light,gain,2465.81
16,female,162.9,70.7,light,loss,1669.2
43,male,185.0,74.2,light,loss,1659.34
53,female,154.5,64.9,active,gain,2062.47
43,male,163.0,67.4,active,gain,3449.69
37,female,151.7,74.4,active,loss,1859.02
34,female,152.6,61.4,light,gain,2095.74
15,male,180.4,94.4,sedentary,loss,1788.33
27,female,150.8,58.7,active,loss,1698.14
31,female,159.6,64.7,sedentary,maintain,1647.87
59,female,166.9,81.5,light,gain,2483.92
46,female,165.3,73.8,sedentary,maintain,1634.88
15,female,158.9,63.0,light,maintain,1736.41
45,male,176.7,77.8,light,loss,1781.98
33,male,176.0,81.8,active,gain,3795.74
27,female,160.2,53.8,active,maintain,2064.04
51,female,160.3,53.4,light,gain,2126.14
58,male,195.1,115.8,sedentary,gain,2925.61
56,male,182.3,107.6,moderate,loss,2648.44
24,female,181.8,65.5,light,gain,2400.73
34,male,170.5,61.0,active,loss,2108.77
45,female,161.3,75.8,sedentary,gain,2225.67
57,female,151.3,60.5,sedentary,loss,800.0
31,female,155.5,65.4,moderate,loss,1569.58
36,female,177.2,88.0,moderate,maintain,2547.62
20,male,170.3,66.5,light,loss,1741.39
18,male,192.3,94.2,sedentary,loss,1877.14
54,male,163.8,67.4,light,maintain,2108.33
64,female,153.6,47.5,light,maintain,1224.63
38,male,171.9,75.1,sedentary,maintain,2007.64
58,female,161.5,77.1,moderate,gain,2408.45
46,female,169.4,64.5,sedentary,maintain,1568.42
28,male,179.1,79.1,light,gain,3073.8
46,female,158.7,62.8,moderate,loss,1375.52
67,female,160.9,58.8,sedentary,loss,800.0
39,female,159.4,68.8,active,maintain,2075.41
68,male,166.8,58.2,moderate,loss,1272.55
15,female,154.9,72.0,sedentary,loss,1248.08
54,male,184.3,91.0,active,gain,3598.55
41,female,147.4,43.0,light,maintain,1320.86
34,male,189.6,113.7,moderate,loss,2718.13
41,female,159.3,62.8,active,gain,2710.04
15,male,168.0,58.6,active,loss,1978.61
36,male,181.7,95.6,light,maintain,2811.36
46,female,173.9,79.3,sedentary,loss,1293.21
66,female,170.9,46.8,sedentary,loss,800.0
30,female,166.0,59.6,moderate,loss,1505.02
25,female,170.7,73.6,active,gain,3087.69
30,male,159.6,40.7,sedentary,loss,913.65
56,female,157.8,60.7,sedentary,maintain,1448.27
45,male,166.8,68.8,moderate,loss,1964.89
30,female,171.8,55.1,light,maintain,1821.45
49,male,171.5,74.2,sedentary,maintain,2013.56
41,male,182.6,80.1,sedentary,maintain,2479.2
57,male,179.8,60.3,light,gain,2161.81
27,female,155.1,67.7,active,gain,2839.52
34,female,157.3,68.7,active,loss,1640.12
32,male,186.6,79.1,light,loss,2194.09
15,male,168.0,65.2,active,gain,3373.14
45,male,176.1,84.6,light,gain,2733.66
44,male,168.0,65.2,moderate,maintain,2261.76
40,male,172.2,47.4,sedentary,maintain,1778.62
35,female,161.6,68.4,moderate,loss,1656.39
15,male,168.0,57.4,light,maintain,2222.61
32,female,154.3,53.0,sedentary,loss,1002.44
33,female,164.3,82.5,active,gain,3341.02
25,female,155.2,56.4,sedentary,loss,1076.27
37,male,167.7,67.5,active,maintain,2638.76
47,male,166.5,72.9,sedentary,maintain,1556.71
73,male,174.3,79.8,sedentary,loss,1342.75
43,male,183.5,66.9,active,maintain,2640.9
44,female,174.1,71.9,light,gain,2596.1
38,female,156.2,58.9,light,maintain,1463.21
15,female,179.2,81.0,sedentary,gain,2679.71
39,male,166.0,69.7,light,loss,1644.54
41,male,184.8,121.7,light,loss,2547.13
84,male,168.5,53.1,light,gain,2199.18
36,male,167.2,79.4,moderate,loss,2074.49
45,male,168.3,83.1,moderate,gain,3005.1
39,male,174.5,79.9,active,maintain,3164.34
18,female,166.6,58.5,moderate,maintain,2220.85
60,female,167.4,88.2,light,maintain,2114.43
53,male,166.5,44.4,light,gain,2170.7
54,female,154.1,49.7,light,gain,1929.3
23,female,154.7,70.0,sedentary,loss,1168.02
65,female,161.1,58.0,light,maintain,1328.62
15,female,160.3,80.1,moderate,loss,1743.06
50,male,166.4,47.6,moderate,gain,2449.89
79,female,164.2,51.2,moderate,loss,887.59
22,male,195.4,82.5,light,maintain,2647.91
29,male,170.5,75.2,light,loss,1693.18
41,female,158.5,57.8,moderate,loss,1357.23
30,male,180.0,70.6,moderate,gain,3151.32
15,female,157.5,75.4,moderate,loss,1591.32
41,male,181.0,101.0,sedentary,maintain,2382.19
20,male,168.5,62.9,moderate,maintain,2382.52
48,female,176.7,50.9,moderate,loss,1154.42
23,female,164.8,43.4,sedentary,maintain,1379.68
67,male,169.4,72.0,sedentary,gain,2297.88
25,female,157.3,66.7,moderate,gain,2539.75
34,male,170.4,70.5,light,maintain,2134.45
54,female,173.0,70.9,moderate,loss,1623.34
17,male,163.6,54.5,sedentary,loss,1242.14
44,male,169.0,77.0,sedentary,gain,2387.37
63,male,169.9,91.1,sedentary,maintain,1810.76
15,male,174.9,48.9,light,loss,1521.82
43,male,172.6,70.4,light,maintain,2447.76
44,female,150.1,44.2,moderate,gain,2074.2
54,male,171.4,50.8,moderate,maintain,2075.54
17,female,161.2,49.2,active,gain,2541.8
16,female,157.0,63.3,sedentary,loss,1116.58
49,male,181.2,84.8,sedentary,gain,2546.65
45,male,183.3,102.7,sedentary,maintain,2486.18
44,female,161.4,62.6,light,maintain,1868.35
46,male,177.1,50.4,sedentary,maintain,1610.5
27,male,155.6,55.5,moderate,maintain,2161.74
44,female,158.6,44.7,sedentary,maintain,1247.99
45,female,170.0,53.7,sedentary,loss,1007.41
27,female,158.6,67.0,light,gain,2454.62
73,female,156.1,60.6,light,gain,1939.38
48,female,180.2,86.5,moderate,maintain,2639.97
18,female,176.6,69.8,moderate,loss,1972.16
51,male,179.2,88.5,sedentary,loss,1519.39
22,female,171.1,64.8,moderate,gain,2743.92
54,female,144.2,60.3,light,gain,1951.89
60,male,167.9,72.0,light,loss,1422.25
25,male,170.8,67.3,sedentary,gain,2405.51
57,male,172.9,74.6,moderate,maintain,2587.82
47,male,170.6,69.6,sedentary,loss,1441.34
54,male,152.0,72.1,sedentary,maintain,1795.34
74,male,178.5,80.0,sedentary,maintain,1961.59
35,female,166.3,66.4,light,loss,1400.56
26,male,189.4,82.3,moderate,loss,2314.52
23,male,167.9,78.4,active,loss,2569.72
25,male,167.2,76.0,moderate,gain,2752.48
38,male,150.9,51.8,active,maintain,2098.08
46,female,159.7,47.9,moderate,maintain,1813.47
44,male,183.1,66.9,light,gain,2604.4
54,male,169.5,66.6,light,gain,2619.84
40,female,179.1,96.5,light,loss,1822.61
66,female,159.9,58.5,light,loss,1042.73
35,female,163.2,56.8,light,loss,1089.44
88,male,162.7,42.6,moderate,gain,2245.7
51,female,164.3,83.2,sedentary,maintain,1595.85
24,female,146.2,56.7,moderate,gain,2135.0
20,female,167.5,77.4,sedentary,loss,1489.62
48,male,181.5,93.3,sedentary,maintain,2199.02
35,male,187.2,81.5,light,loss,1953.62
52,female,153.8,57.7,light,maintain,1705.2
48,male,176.4,95.6,sedentary,loss,1774.62
38,male,180.1,80.4,light,maintain,2323.76
24,male,179.0,85.4,light,gain,3024.84
15,male,167.2,78.1,sedentary,gain,2802.74
31,male,153.5,63.3,moderate,loss,1618.99
